dimension,subgroup,outcome,att,ci_low,ci_high,ntr,n_cohorts
Ownership,Government,Operating margin,0.03357682423953668,0.023474362153691978,0.043679286325381386,403,7
Ownership,Government,Current ratio,-0.08868120722615827,-0.24760315397218258,0.07024073951986604,403,7
Ownership,Government,Net fixed assets,-0.001852086614047628,-0.02231605193456719,0.018611878706471935,402,7
Ownership,Government,Capital expenditures per bed,0.039095361777462326,-0.5494829193258653,0.62767364288079,357,7
Ownership,Government,Net patient revenue per bed,-3.0632386478705707,-13.475037296452598,7.3485600007114575,403,7
Ownership,Government,Operating expenses per bed,-8.251682635595023,-17.519798178454327,1.0164329072642815,415,7
Ownership,Government,Total beds,-5.77715102168396,-7.825628055901863,-3.7286739874660584,435,7
Ownership,Government,OB beds,-0.3949484110988925,-0.5763665750693353,-0.21353024712844973,427,7
Ownership,Government,FTE RNs,-2.1851290976332804,-3.232128625511258,-1.138129569755303,435,7
Ownership,Government,Inpatient days per bed,-17.358890760390082,-22.81886292887692,-11.898918591903243,435,7
Ownership,Government,System membership,0.06836407700654054,0.003305167004244186,0.1334229870088369,85,7
Ownership,Nonprofit,Operating margin,0.04104843581059268,0.031508487506533116,0.05058838411465224,376,7
Ownership,Nonprofit,Current ratio,0.0759595009402435,-0.07048556872856006,0.22240457060904706,375,7
Ownership,Nonprofit,Net fixed assets,-0.01759496648378203,-0.03267475548806778,-0.0025151774794962747,376,7
Ownership,Nonprofit,Capital expenditures per bed,0.2679317171781978,-0.29848980209722337,0.834353236453619,344,7
Ownership,Nonprofit,Net patient revenue per bed,-26.637337641383105,-42.79457769043867,-10.480097592327542,376,7
Ownership,Nonprofit,Operating expenses per bed,-39.55890194420603,-53.737640781228535,-25.380163107183524,388,7
Ownership,Nonprofit,Total beds,-9.116145256132157,-10.928452104678197,-7.303838407586117,417,7
Ownership,Nonprofit,OB beds,-0.9175875868817753,-1.117656847663952,-0.7175183260995988,412,7
Ownership,Nonprofit,FTE RNs,-4.583661373481528,-5.681046911307733,-3.4862758356553227,417,7
Ownership,Nonprofit,Inpatient days per bed,-18.23024735556454,-23.402580438576287,-13.057914272552793,417,7
Ownership,Nonprofit,System membership,0.03795236032144999,0.006171482068189155,0.06973323857471082,191,7
Geographic isolation,Isolated,Operating margin,0.03848074751786941,0.027932394793593582,0.04902910024214524,366,7
Geographic isolation,Isolated,Current ratio,0.017282474585931802,-0.14576201315761328,0.18032696232947687,366,7
